dataset,attn_type,rpe_type,epochs_total,epoch,lr,batch_size,train_loss,train_acc,train_time_sec,test_loss,test_acc,eval_time_sec
cifar10,favor+,rope,20,5,0.001,128,1.250715274,0.5501,17.45279312,1.242607896,0.5527,1.933367729
cifar10,favor+,rope,20,6,0.001,128,1.208864141,0.56264,18.27862692,1.241806919,0.5533,1.900205135
cifar10,favor+,rope,20,7,0.001,128,1.167599701,0.5788,17.39431095,1.197332394,0.5659,1.92422843
cifar10,favor+,rope,20,8,0.001,128,1.135363224,0.58942,18.22494745,1.197408734,0.5725,1.883199215
cifar10,favor+,rope,20,9,0.001,128,1.096848796,0.60704,17.39431167,1.155403305,0.5859,2.258337498
cifar10,favor+,rope,20,10,0.001,128,1.068859111,0.6157,17.76298666,1.133526197,0.5934,1.88245368
cifar10,favor+,rope,20,11,0.001,128,1.03583838,0.62694,17.49075246,1.141004287,0.5989,2.536293983
cifar10,favor+,rope,20,12,0.001,128,1.012769356,0.63572,17.50854826,1.103831294,0.605,1.914513111
cifar10,favor+,rope,20,13,0.001,128,0.983832192,0.64784,18.48767734,1.119007816,0.598,2.152070522
cifar10,favor+,rope,20,14,0.001,128,0.956776436,0.65814,17.66501379,1.103054536,0.6108,1.884310484
cifar10,favor+,rope,20,15,0.001,128,0.923841216,0.67032,18.79422545,1.089713872,0.6139,1.964344263
cifar10,favor+,rope,20,16,0.001,128,0.898563324,0.67832,17.89417386,1.097286395,0.6084,2.003647327
cifar10,favor+,rope,20,17,0.001,128,0.875946333,0.68648,18.37341619,1.09850097,0.612,1.911252499
cifar10,favor+,rope,20,18,0.001,128,0.848268744,0.69752,17.6457355,1.104372445,0.6161,2.448673964
cifar10,favor+,rope,20,19,0.001,128,0.823147945,0.7061,17.97624254,1.082106156,0.6202,1.882035494
cifar10,favor+,rope,20,20,0.001,128,0.793865918,0.71708,18.08829021,1.081189995,0.627,2.200935841
cifar10,favor+,classic,20,1,0.001,128,1.848137735,0.3011,17.57071185,1.688417465,0.3727,2.019739866
cifar10,favor+,classic,20,2,0.001,128,1.649867009,0.38774,17.95011139,1.592186449,0.4151,1.839602232
cifar10,favor+,classic,20,3,0.001,128,1.576564273,0.41664,17.03983665,1.545341185,0.4305,2.088577032
cifar10,favor+,classic,20,4,0.001,128,1.531355817,0.4413,17.50253177,1.530007302,0.4444,1.849527836
cifar10,favor+,classic,20,5,0.001,128,1.490539225,0.45422,17.2835784,1.517514324,0.4461,2.225857735
cifar10,favor+,classic,20,6,0.001,128,1.463123566,0.46274,17.42155528,1.499983408,0.4496,1.835884571
cifar10,favor+,classic,20,7,0.001,128,1.440458393,0.47256,17.10163021,1.433990245,0.4743,2.312261105
cifar10,favor+,classic,20,8,0.001,128,1.412129176,0.48304,17.55490875,1.408384466,0.4824,1.893590212
cifar10,favor+,classic,20,9,0.001,128,1.390641771,0.49074,17.08767605,1.410552008,0.484,2.377663851
cifar10,favor+,classic,20,10,0.001,128,1.373892669,0.49818,17.32120395,1.407348499,0.4889,1.848141432
cifar10,favor+,classic,20,11,0.001,128,1.353766084,0.50724,17.42837715,1.392824249,0.4978,2.470776558
cifar10,favor+,classic,20,12,0.001,128,1.344010722,0.51254,17.14989209,1.385059195,0.4942,1.81653285
cifar10,favor+,classic,20,13,0.001,128,1.315444342,0.5189,17.31849146,1.369730013,0.5043,2.408240557
cifar10,favor+,classic,20,14,0.001,128,1.302830512,0.52536,17.29952931,1.371746166,0.5022,1.844430208
cifar10,favor+,classic,20,15,0.001,128,1.279515478,0.53292,17.43898869,1.292576042,0.5302,2.309689045
cifar10,favor+,classic,20,16,0.001,128,1.257883602,0.5431,17.01854777,1.293621741,0.5301,1.814729214
cifar10,favor+,classic,20,17,0.001,128,1.241875471,0.5474,17.56135845,1.26555836,0.5427,2.239213705
cifar10,favor+,classic,20,18,0.001,128,1.22468866,0.55654,17.22386837,1.279136922,0.5359,1.872724295
cifar10,favor+,classic,20,19,0.001,128,1.207164568,0.56292,17.54477668,1.263942592,0.5451,2.113260746
cifar10,favor+,classic,20,20,0.001,128,1.193759181,0.56604,17.17670202,1.258691513,0.5439,1.811147928
cifar10,favor+,string,20,1,0.001,128,1.816150123,0.31704,18.38755178,1.53739353,0.4295,1.84510088
cifar10,favor+,string,20,2,0.001,128,1.467841039,0.46298,17.18080091,1.396486392,0.4908,2.114645481
cifar10,favor+,string,20,3,0.001,128,1.358752558,0.50478,18.36906743,1.326454517,0.5195,1.859890223
cifar10,favor+,string,20,4,0.001,128,1.283919877,0.53562,17.71875167,1.256084535,0.5461,2.463474035
cifar10,favor+,string,20,5,0.001,128,1.219742401,0.56362,17.47959495,1.234132473,0.5534,2.023719072
cifar10,favor+,string,20,6,0.001,128,1.169061893,0.57902,18.27096629,1.170000889,0.5748,2.176980495
cifar10,favor+,string,20,7,0.001,128,1.119763341,0.59814,17.62864923,1.145322072,0.586,1.883511782
cifar10,favor+,string,20,8,0.001,128,1.067653862,0.61722,18.50654054,1.101713133,0.5958,1.856328011
cifar10,favor+,string,20,9,0.001,128,1.03455898,0.6272,17.51570654,1.08914241,0.6048,1.894178629
cifar10,favor+,string,20,10,0.001,128,0.995233826,0.64256,18.52687192,1.071713337,0.6174,1.869310141
cifar10,favor+,string,20,11,0.001,128,0.956944103,0.65862,17.27928805,1.019058012,0.6309,1.991829395
cifar10,favor+,string,20,12,0.001,128,0.920373989,0.66952,18.11825609,1.00899077,0.6422,1.849365234
cifar10,favor+,string,20,13,0.001,128,0.887388648,0.68278,17.31548357,1.065318575,0.6284,2.198400259
cifar10,favor+,string,20,14,0.001,128,0.868160366,0.68944,17.6702168,0.964132482,0.6597,1.87976861
cifar10,favor+,string,20,15,0.001,128,0.833765211,0.70208,17.34607649,0.964299543,0.6571,2.400033474
cifar10,favor+,string,20,16,0.001,128,0.804293843,0.71242,17.52229238,0.957475048,0.6576,1.843411684
cifar10,favor+,string,20,17,0.001,128,0.778371497,0.7204,17.49290657,0.931916656,0.6734,2.403928518
